AffiliateItemCard href,,price,ItemCard__image src,Link_Affiliate
https://affiliate.shopee.vn/offer/product_offer/24683811499?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"[CHÍNH HÃNG] Đàn Piano Điện Victor VT02 - 88 Phím - Tặng Full Phụ Kiện,Khoá Học Online - HIẾU ÂM NHẠC",2.800.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ra0g-m8iji32znxbi6b.webp,https://s.shopee.vn/8pgcTUbLsD
https://affiliate.shopee.vn/offer/product_offer/24001962299?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,Đàn Piano Điện Gấp Gọn 2025 - 88 Phím Nặng Cảm Lực - Kết Nối Bluetooth + Chân Đàn,1.190.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ra0g-m8oalkydvonbea.webp,https://s.shopee.vn/9002fnaiXG
https://affiliate.shopee.vn/offer/product_offer/24378715908?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"[Tặng Pedal, Tai Nghe, Giáo Trình] Đàn Piano Gỗ Woim W-3101 88 Phím Nặng Chuẩn Quốc Tế, Midi, Bluetooth, Âm Bass Treble.",3.490.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7r98o-luyoakgrgvtee3.webp,https://s.shopee.vn/9AJSs6a5CJ
https://affiliate.shopee.vn/offer/product_offer/25923019757?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"Đàn Piano Điện VicTor VT02 Phiên Bản 2026 - Đủ 88 Phím Đàn Gỗ Chất Lượng  - Tặng Pedal và đủ Pk, Khóa học online",2.784.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ra0g-m8rhinic722se8.webp,https://s.shopee.vn/6fc7tVjbGq
https://affiliate.shopee.vn/offer/product_offer/24244895736?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"Đàn Piano Điện Victor VT02 Bản 2026 - 88 Phím, Bluetooth -Tặng Full Phụ Kiện, Khoá Học Piano Online",2.730.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ra0g-m9cy0ptods3m47.webp,https://s.shopee.vn/6pvY5oixvt
https://affiliate.shopee.vn/offer/product_offer/23127244864?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,Đàn Piano Điện Bora BX 20 Gấp Gọn - 88 Phím Nặng Cảm Lực - Kết Nối Bluetooth + Chân Đàn +TPhone,1.900.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ras8-m1h9g31a9oe784.webp,https://s.shopee.vn/70EyI7iKaw
https://affiliate.shopee.vn/offer/product_offer/20687271057?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"Đàn Piano VICTOR VT02 - 88 Phím - Full Phụ Kiện, Đàn Xịn, Bền Đẹp Chắc Chắn Bảo Hành Lâu Và Tặng Khóa Học Piano",2.590.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ra0g-m96r0i4dv432e1.webp,https://s.shopee.vn/7AYOUQhhFz
https://affiliate.shopee.vn/offer/product_offer/25307162465?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"Đàn Piano VICTOR VT02 - 88 Phím - Full Phụ Kiện, Đàn Xịn, Bền Đẹp Chắc Chắn Và Bảo Hành Lâu Dài",2.590.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ra0g-m96rx8cxno8y89.webp,https://s.shopee.vn/7Krogjh3v2
https://affiliate.shopee.vn/offer/product_offer/29564174302?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"[Âm Thanh] Đàn Piano Điện VicTor VT02  Đủ 88 Phím Đàn Gỗ cao cấp, có Pedan dùng mọi lứa tuổi phím cảm ứng lực",2.734.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ras8-m2cblcrxxn78c6.webp,https://s.shopee.vn/7VBEt2gQa5
https://affiliate.shopee.vn/offer/product_offer/17114230782?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,"(KÈM PENDAL) Đàn Piano Gỗ, Đàn Organ Điện Tử Electronic Keyboard Đàn 88 Phím - Đàn Piano Điện Cho Người Lớn Trẻ Em",2.799.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7r98o-lmbah99dr1svec.webp,https://s.shopee.vn/7fUf5LfnF8
https://affiliate.shopee.vn/offer/product_offer/28472102855?trace=%7B%22trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22list_type%22%3A200%2C%22exp_group_ids%22%3A%5B648055%2C646681%2C635297%2C636683%2C650434%5D%2C%22root_trace_id%22%3A%220.LeRmbnmfFh.200%22%2C%22root_list_type%22%3A200%7D,[Xả Kho] Piano Victor VT02 đủ 88 phím - Piano điện 88 phím tốt nhất tầm giá,2.780.000,https://down-bs-vn.img.susercontent.com/vn-11134207-7ras8-m4dmo9q5rl6vb8.webp,https://s.shopee.vn/7po5Hef9uB
